bulletin_date,municipality,probable_cases,probable_cases_percent
2020-11-10,Culebra,0,0
2020-11-10,Dorado,2,0.7
2020-11-10,Fajardo,5,1.7
2020-11-10,Florida,0,0
2020-11-10,Guánica,0,0
2020-11-10,Guayama,5,1.7
2020-11-10,Guayanilla,0,0
2020-11-10,Guaynabo,20,6.7
2020-11-10,Gurabo,10,3.3
2020-11-10,Hatillo,2,0.7
2020-11-10,Hormigueros,0,0
2020-11-10,Humacao,1,0.3
2020-11-10,Isabela,23,7.7
2020-11-10,Jayuya,0,0
2020-11-10,Juana Díaz,0,0
2020-11-10,Juncos,12,4
2020-11-10,Lajas,0,0
2020-11-10,Lares,0,0
2020-11-10,Las Marías,2,0.7
2020-11-10,Las Piedras,1,0.3
2020-11-10,Loíza,1,0.3
2020-11-10,Luquillo,0,0
2020-11-10,Manatí,0,0
2020-11-10,Maricao,0,0
2020-11-10,Maunabo,0,0
2020-11-10,Mayagüez,1,0.3
2020-11-10,Moca,3,1
2020-11-10,Morovis,2,0.7
2020-11-10,Naguabo,7,2.3
2020-11-10,Naranjito,0,0
2020-11-10,Orocovis,0,0
2020-11-10,Patillas,0,0
2020-11-10,Peñuelas,0,0
2020-11-10,Ponce,0,0
2020-11-10,Quebradillas,12,4
2020-11-10,Rincón,0,0
2020-11-10,Río Grande,3,1
2020-11-10,Sabana Grande,0,0
2020-11-10,Salinas,0,0
2020-11-10,San Germán,0,0
2020-11-10,San Juan,45,15
2020-11-10,San Lorenzo,1,0.3
2020-11-10,San Sebastián,0,0
2020-11-10,Santa Isabel,0,0
2020-11-10,Toa Alta,3,1
2020-11-10,Toa Baja,9,3
2020-11-10,Trujillo Alto,3,1
2020-11-10,Utuado,0,0
2020-11-10,Vega Alta,2,0.7
2020-11-10,Vega Baja,2,0.7
2020-11-10,Vieques,0,0
2020-11-10,Villalba,13,4.3
2020-11-10,Yabucoa,1,0.3
2020-11-10,Yauco,0,0
2020-11-10,Otro lugar fuera de PR,1,
2020-11-10,No disponible,20,
2020-11-10,Total,321,
2020-11-11,Adjuntas,0,0
2020-11-11,Aguada,1,0.2
2020-11-11,Aguadilla,3,0.7
2020-11-11,Aguas Buenas,4,0.9
2020-11-11,Aibonito,0,0
2020-11-11,Añasco,9,2
2020-11-11,Arecibo,2,0.4
2020-11-11,Arroyo,1,0.2
2020-11-11,Barceloneta,0,0
2020-11-11,Barranquitas,0,0
2020-11-11,Bayamón,47,10.2
2020-11-11,Cabo Rojo,8,1.7
2020-11-11,Caguas,44,9.6
2020-11-11,Camuy,3,0.7
2020-11-11,Canóvanas,4,0.9
2020-11-11,Carolina,27,5.9
2020-11-11,Cataño,11,2.4
2020-11-11,Cayey,3,0.7
2020-11-11,Ceiba,0,0
2020-11-11,Ciales,0,0
2020-11-11,Cidra,2,0.4
2020-11-11,Coamo,3,0.7
2020-11-11,Comerío,0,0
2020-11-11,Corozal,1,0.2
2020-11-11,Culebra,0,0
2020-11-11,Dorado,2,0.4
2020-11-11,Fajardo,5,1.1
2020-11-11,Florida,0,0
2020-11-11,Guánica,0,0
2020-11-11,Guayama,5,1.1
2020-11-11,Guayanilla,4,0.9
2020-11-11,Guaynabo,23,5
2020-11-11,Gurabo,13,2.8
2020-11-11,Hatillo,2,0.4
2020-11-11,Hormigueros,8,1.7
2020-11-11,Humacao,4,0.9
2020-11-11,Isabela,23,5
2020-11-11,Jayuya,0,0
2020-11-11,Juana Díaz,1,0.2
2020-11-11,Juncos,19,4.1
2020-11-11,Lajas,0,0
2020-11-11,Lares,0,0
2020-11-11,Las Marías,2,0.4
2020-11-11,Las Piedras,3,0.7
2020-11-11,Loíza,12,2.6
2020-11-11,Luquillo,0,0
2020-11-11,Manatí,0,0
2020-11-11,Maricao,0,0
2020-11-11,Maunabo,0,0
2020-11-11,Mayagüez,5,1.1
2020-11-11,Moca,4,0.9
2020-11-11,Morovis,2,0.4
2020-11-11,Naguabo,7,1.5
2020-11-11,Naranjito,0,0
2020-11-11,Orocovis,0,0
2020-11-11,Patillas,1,0.2
2020-11-11,Peñuelas,1,0.2
2020-11-11,Ponce,4,0.9
2020-11-11,Quebradillas,12,2.6
2020-11-11,Rincón,0,0
2020-11-11,Río Grande,4,0.9
2020-11-11,Sabana Grande,1,0.2
2020-11-11,Salinas,0,0
2020-11-11,San Germán,1,0.2
2020-11-11,San Juan,59,12.9
2020-11-11,San Lorenzo,2,0.4
2020-11-11,San Sebastián,1,0.2
2020-11-11,Santa Isabel,0,0
2020-11-11,Toa Alta,5,1.1
2020-11-11,Toa Baja,22,4.8
2020-11-11,Trujillo Alto,7,1.5
2020-11-11,Utuado,0,0
2020-11-11,Vega Alta,4,0.9
2020-11-11,Vega Baja,2,0.4
2020-11-11,Vieques,0,0
2020-11-11,Villalba,14,3.1
2020-11-11,Yabucoa,1,0.2
2020-11-11,Yauco,1,0.2
2020-11-11,Otro lugar fuera de PR,1,
2020-11-11,No disponible,24,
2020-11-11,Total,484,
2020-11-12,Adjuntas,0,0.0
2020-11-12,Aguada,1,0.2
2020-11-12,Aguadilla,3,0.6
2020-11-12,Aguas Buenas,4,0.8
2020-11-12,Aibonito,3,0.6
2020-11-12,Añasco,10,1.9
2020-11-12,Arecibo,2,0.4
2020-11-12,Arroyo,1,0.2
2020-11-12,Barceloneta,0,0.0
2020-11-12,Barranquitas,1,0.2
2020-11-12,Bayamón,47,9.1
