bulletin_date,age_range,female,female_pct,male,male_pct,cases,cases_pct
2020-05-31,20-29,95,14.9,89,13.4,184,14.1
2020-05-31,30-39,102,16.0,111,16.7,213,16.4
2020-05-31,40-49,109,17.1,129,19.5,238,18.3
2020-05-31,50-59,139,21.8,133,20.1,272,20.9
2020-05-31,60-69,92,14.4,82,12.4,174,13.4
2020-05-31,70-79,33,5.2,52,7.8,85,6.5
2020-05-31,≥ 80,23,3.6,24,3.6,47,3.6
2020-05-31,No disponible,,,2,,2,
2020-05-31,Total,639,100.0,665,100.0,1304,100.0
2020-06-01,< 10,15,2.3,13,2.0,28,2.1
2020-06-01,10-19,31,4.9,30,4.5,61,4.7
2020-06-01,20-29,95,14.9,89,13.4,184,14.1
2020-06-01,30-39,102,16.0,111,16.7,213,16.3
2020-06-01,40-49,109,17.1,129,19.4,238,18.3
2020-06-01,50-59,139,21.8,133,20.0,272,20.9
2020-06-01,60-69,92,14.4,83,12.5,175,13.4
2020-06-01,70-79,33,5.2,52,7.8,85,6.5
2020-06-01,≥ 80,23,3.6,24,3.6,47,3.6
2020-06-01,No disponible,,,2,,2,
2020-06-01,Total,639,100.0,666,100.0,1305,100.0
2020-06-02,< 10,15,2.3,13,2.0,28,2.1
2020-06-02,10-19,31,4.8,30,4.5,61,4.7
2020-06-02,20-29,96,14.9,89,13.4,185,14.1
2020-06-02,30-39,104,16.1,111,16.7,215,16.4
2020-06-02,40-49,110,17.1,131,19.7,241,18.4
2020-06-02,50-59,140,21.7,133,20.0,273,20.8
2020-06-02,60-69,92,14.3,83,12.5,175,13.4
2020-06-02,70-79,33,5.1,52,7.8,85,6.5
2020-06-02,≥ 80,23,3.6,24,3.6,47,3.6
2020-06-02,No disponible,1,,2,,3,
2020-06-02,Total,645,100.0,668,100.0,1313,100.0
2020-06-03,< 10,15,2.3,14,2.1,29,2.2
2020-06-03,10-19,32,5.0,30,4.4,62,4.7
2020-06-03,20-29,96,14.9,90,13.3,186,14.1
2020-06-03,30-39,104,16.1,111,16.4,215,16.3
2020-06-03,40-49,109,16.9,133,19.7,242,18.3
2020-06-03,50-59,140,21.7,135,20.0,275,20.8
2020-06-03,60-69,93,14.4,84,12.4,177,13.4
2020-06-03,70-79,33,5.1,54,8.0,87,6.6
2020-06-03,≥ 80,23,3.6,24,3.6,47,3.6
2020-06-03,No disponible,1,,1,,2,
2020-06-03,Total,646,100.0,676,100.0,1322,100.0
2020-06-04,< 10,15,2.3,14,2.1,29,2.2
2020-06-04,10-19,32,4.9,30,4.4,62,4.7
2020-06-04,20-29,98,15.1,91,13.4,189,14.2
2020-06-04,30-39,107,16.5,112,16.5,219,16.5
2020-06-04,40-49,109,16.8,132,19.5,241,18.1
2020-06-04,50-59,140,21.5,136,20.1,276,20.8
2020-06-04,60-69,93,14.3,84,12.4,177,13.3
2020-06-04,70-79,33,5.1,55,8.1,88,6.6
2020-06-04,≥ 80,23,3.5,24,3.5,47,3.5
2020-06-04,No disponible,1,,1,,2,
2020-06-04,Total,651,100.0,679,100.0,1330,100.0
2020-06-05,< 10,15,2.3,14,2.0,29,2.1
2020-06-05,10-19,35,5.3,33,4.8,68,5.0
2020-06-05,20-29,102,15.3,91,13.2,193,14.2
2020-06-05,30-39,109,16.4,113,16.3,222,16.3
2020-06-05,40-49,111,16.7,135,19.5,246,18.1
2020-06-05,50-59,143,21.5,136,19.7,279,20.5
2020-06-05,60-69,94,14.1,89,12.9,183,13.5
2020-06-05,70-79,34,5.1,56,8.1,90,6.6
2020-06-05,≥ 80,23,3.5,25,3.6,48,3.5
2020-06-05,No disponible,1,,1,,2,
2020-06-05,Total,667,100.0,693,100.0,1360,100.0
2020-06-06,< 10,15,2.2,14,2.0,29,2.1
2020-06-06,10-19,35,5.2,33,4.8,68,5.0
