bulletin_date,municipality,confirmed_cases,confirmed_cases_percent
2020-04-29,Vega Baja,8,1.0
2020-04-29,Villalba,5,0.6
2020-04-29,Yabucoa,3,0.4
2020-04-29,Yauco,17,2.0
2020-04-29,Nueva York,5,
2020-04-29,Nueva Jersey,1,
2020-04-29,Otro lugar fuera de PR,2,
2020-04-29,No disponible,108,
2020-04-29,Total,955,
2020-04-30,Adjuntas,3,0.4
2020-04-30,Aguada,6,0.7
2020-04-30,Aguadilla,11,1.3
2020-04-30,Aguas Buenas,12,1.4
2020-04-30,Aibonito,4,0.5
2020-04-30,Añasco,4,0.5
2020-04-30,Arecibo,14,1.6
2020-04-30,Arroyo,1,0.1
2020-04-30,Barranquitas,2,0.2
2020-04-30,Bayamón,45,5.3
2020-04-30,Cabo Rojo,15,1.8
2020-04-30,Caguas,38,4.5
2020-04-30,Camuy,1,0.1
2020-04-30,Canóvanas,11,1.3
2020-04-30,Carolina,58,6.8
2020-04-30,Cataño,6,0.7
2020-04-30,Cayey,5,0.6
2020-04-30,Ceiba,6,0.7
2020-04-30,Cidra,10,1.2
2020-04-30,Coamo,3,0.4
2020-04-30,Comerío,2,0.2
2020-04-30,Corozal,4,0.5
2020-04-30,Dorado,12,1.4
2020-04-30,Fajardo,1,0.1
2020-04-30,Guánica,13,1.5
2020-04-30,Guayama,3,0.4
2020-04-30,Guayanilla,3,0.4
2020-04-30,Guaynabo,58,6.8
2020-04-30,Gurabo,8,0.9
2020-04-30,Hatillo,5,0.6
2020-04-30,Hormigueros,8,0.9
2020-04-30,Humacao,4,0.5
2020-04-30,Isabela,8,0.9
2020-04-30,Jayuya,2,0.2
2020-04-30,Juana Díaz,9,1.1
2020-04-30,Juncos,5,0.6
2020-04-30,Lajas,3,0.4
2020-04-30,Lares,3,0.4
2020-04-30,Las Marías,4,0.5
2020-04-30,Las Piedras,5,0.6
2020-04-30,Loíza,1,0.1
2020-04-30,Luquillo,5,0.6
2020-04-30,Manatí,3,0.4
2020-04-30,Maunabo,3,0.4
2020-04-30,Mayagüez,32,3.8
2020-04-30,Moca,13,1.5
2020-04-30,Morovis,1,0.1
2020-04-30,Naguabo,1,0.1
2020-04-30,Orocovis,5,0.6
2020-04-30,Patillas,3,0.4
2020-04-30,Peñuelas,2,0.2
2020-04-30,Ponce,23,2.7
2020-04-30,Quebradillas,13,1.5
2020-04-30,Rincón,2,0.2
2020-04-30,Río Grande,8,0.9
2020-04-30,Sabana Grande,9,1.1
2020-04-30,Salinas,4,0.5
2020-04-30,San Germán,16,1.9
2020-04-30,San Juan,158,18.6
2020-04-30,San Lorenzo,3,0.4
2020-04-30,San Sebastián,17,2.0
2020-04-30,Santa Isabel,2,0.2
2020-04-30,Toa Alta,21,2.5
2020-04-30,Toa Baja,21,2.5
2020-04-30,Trujillo Alto,23,2.7
2020-04-30,Vega Alta,12,1.4
2020-04-30,Vega Baja,8,0.9
2020-04-30,Villalba,5,0.6
2020-04-30,Yabucoa,3,0.4
2020-04-30,Yauco,17,2.0
2020-04-30,Nueva York,5,
2020-04-30,Nueva Jersey,1,
2020-04-30,Otro lugar fuera de PR,2,
2020-04-30,No disponible,107,
2020-04-30,Total,964,
2020-05-01,Adjuntas,3,0.3
2020-05-01,Aguada,6,0.7
2020-05-01,Aguadilla,11,1.3
2020-05-01,Aguas Buenas,12,1.4
2020-05-01,Aibonito,4,0.5
2020-05-01,Añasco,4,0.5
2020-05-01,Arecibo,14,1.6
2020-05-01,Arroyo,1,0.1
2020-05-01,Barranquitas,2,0.2
2020-05-01,Bayamón,46,5.3
2020-05-01,Cabo Rojo,16,1.9
2020-05-01,Caguas,39,4.5
2020-05-01,Camuy,1,0.1
2020-05-01,Canóvanas,11,1.3
2020-05-01,Carolina,60,7.0
2020-05-01,Cataño,6,0.7
2020-05-01,Cayey,5,0.6
2020-05-01,Ceiba,6,0.7
2020-05-01,Cidra,10,1.2
2020-05-01,Coamo,3,0.3
2020-05-01,Comerío,2,0.2
2020-05-01,Corozal,4,0.5
2020-05-01,Dorado,12,1.4
2020-05-01,Fajardo,1,0.1
2020-05-01,Guánica,13,1.5
2020-05-01,Guayama,3,0.3
2020-05-01,Guayanilla,3,0.3
2020-05-01,Guaynabo,61,7.1
2020-05-01,Gurabo,8,0.9
2020-05-01,Hatillo,5,0.6
2020-05-01,Hormigueros,8,0.9
2020-05-01,Humacao,6,0.7
2020-05-01,Isabela,8,0.9
2020-05-01,Jayuya,2,0.2
2020-05-01,Juana Díaz,9,1.0
2020-05-01,Juncos,5,0.6
2020-05-01,Lajas,3,0.3
2020-05-01,Lares,3,0.3
2020-05-01,Las Marías,4,0.5
2020-05-01,Las Piedras,5,0.6
2020-05-01,Loíza,1,0.1
2020-05-01,Luquillo,5,0.6
2020-05-01,Manatí,3,0.3
2020-05-01,Maunabo,3,0.3
2020-05-01,Mayagüez,31,3.6
2020-05-01,Moca,13,1.5
2020-05-01,Morovis,1,0.1
2020-05-01,Naguabo,1,0.1
2020-05-01,Orocovis,5,0.6
2020-05-01,Patillas,3,0.3
2020-05-01,Peñuelas,2,0.2
2020-05-01,Ponce,23,2.7
2020-05-01,Quebradillas,15,1.7
2020-05-01,Rincón,2,0.2
2020-05-01,Río Grande,8,0.9
2020-05-01,Sabana Grande,9,1.0
2020-05-01,Salinas,4,0.5
2020-05-01,San Germán,16,1.9
2020-05-01,San Juan,155,18.0
2020-05-01,San Lorenzo,3,0.3
2020-05-01,San Sebastián,17,2.0
2020-05-01,Santa Isabel,2,0.2
2020-05-01,Toa Alta,24,2.8
2020-05-01,Toa Baja,21,2.4
2020-05-01,Trujillo Alto,23,2.7
2020-05-01,Vega Alta,12,1.4
2020-05-01,Vega Baja,8,0.9
2020-05-01,Villalba,5,0.6
2020-05-01,Yabucoa,3,0.3
2020-05-01,Yauco,17,2.0
2020-05-01,Nueva York,5,
2020-05-01,Nueva Jersey,1,
2020-05-01,Otro lugar fuera de PR,2,
2020-05-01,No disponible,105,
2020-05-01,Total,973,
2020-05-02,Adjuntas,3,0.3
2020-05-02,Aguada,6,0.7
2020-05-02,Aguadilla,11,1.3
2020-05-02,Aguas Buenas,12,1.4
2020-05-02,Aibonito,5,0.6
2020-05-02,Añasco,4,0.5
2020-05-02,Arecibo,15,1.7
2020-05-02,Arroyo,1,0.1
2020-05-02,Barranquitas,2,0.2
2020-05-02,Bayamón,50,5.7
2020-05-02,Cabo Rojo,16,1.8
2020-05-02,Caguas,39,4.4
2020-05-02,Camuy,1,0.1
2020-05-02,Canóvanas,11,1.3
2020-05-02,Carolina,61,6.9
2020-05-02,Cataño,6,0.7
2020-05-02,Cayey,5,0.6
2020-05-02,Ceiba,6,0.7
2020-05-02,Cidra,11,1.3
2020-05-02,Coamo,3,0.3
2020-05-02,Comerío,2,0.2
2020-05-02,Corozal,4,0.5
2020-05-02,Dorado,13,1.5
2020-05-02,Fajardo,1,0.1
2020-05-02,Florida,1,0.1
2020-05-02,Guánica,13,1.5
2020-05-02,Guayama,3,0.3
2020-05-02,Guayanilla,3,0.3
2020-05-02,Guaynabo,60,6.8
2020-05-02,Gurabo,8,0.9
2020-05-02,Hatillo,5,0.6
2020-05-02,Hormigueros,8,0.9
2020-05-02,Humacao,6,0.7
2020-05-02,Isabela,8,0.9
2020-05-02,Jayuya,2,0.2
2020-05-02,Juana Díaz,10,1.1
2020-05-02,Juncos,5,0.6
2020-05-02,Lajas,3,0.3
2020-05-02,Lares,3,0.3
2020-05-02,Las Marías,4,0.5
2020-05-02,Las Piedras,5,0.6
2020-05-02,Loíza,1,0.1
2020-05-02,Luquillo,5,0.6
2020-05-02,Manatí,3,0.3
2020-05-02,Maunabo,3,0.3
2020-05-02,Mayagüez,31,3.5
2020-05-02,Moca,13,1.5
2020-05-02,Morovis,1,0.1
2020-05-02,Naguabo,1,0.1
2020-05-02,Orocovis,6,0.7
2020-05-02,Patillas,3,0.3
2020-05-02,Peñuelas,2,0.2
2020-05-02,Ponce,23,2.6
2020-05-02,Quebradillas,15,1.7
2020-05-02,Rincón,2,0.2
2020-05-02,Río Grande,8,0.9
2020-05-02,Sabana Grande,9,1.0
2020-05-02,Salinas,4,0.5
2020-05-02,San Germán,17,1.9
2020-05-02,San Juan,159,18.1
2020-05-02,San Lorenzo,3,0.3
2020-05-02,San Sebastián,17,1.9
2020-05-02,Santa Isabel,3,0.3
2020-05-02,Toa Alta,25,2.8
2020-05-02,Toa Baja,22,2.5
2020-05-02,Trujillo Alto,23,2.6
2020-05-02,Vega Alta,12,1.4
2020-05-02,Vega Baja,8,0.9
2020-05-02,Villalba,5,0.6
2020-05-02,Yabucoa,3,0.3
2020-05-02,Yauco,17,1.9
2020-05-02,Nueva York,5,
2020-05-02,Nueva Jersey,1,
2020-05-02,Otro lugar fuera de PR,2,
2020-05-02,No disponible,101,
2020-05-02,Total,988,
2020-05-03,Adjuntas,3,0.3
2020-05-03,Aguada,6,0.7
2020-05-03,Aguadilla,11,1.2
2020-05-03,Aguas Buenas,13,1.5
2020-05-03,Aibonito,5,0.6
2020-05-03,Añasco,4,0.4
2020-05-03,Arecibo,15,1.7
2020-05-03,Arroyo,1,0.1
2020-05-03,Barranquitas,2,0.2
2020-05-03,Bayamón,50,5.6
2020-05-03,Cabo Rojo,16,1.8
2020-05-03,Caguas,39,4.4
2020-05-03,Camuy,1,0.1
2020-05-03,Canóvanas,11,1.2
2020-05-03,Carolina,61,6.8
2020-05-03,Cataño,6,0.7
2020-05-03,Cayey,5,0.6
2020-05-03,Ceiba,6,0.7
2020-05-03,Cidra,11,1.2
2020-05-03,Coamo,3,0.3
2020-05-03,Comerío,2,0.2
2020-05-03,Corozal,4,0.4
2020-05-03,Dorado,13,1.5
2020-05-03,Fajardo,1,0.1
2020-05-03,Florida,2,0.2
2020-05-03,Guánica,13,1.5
2020-05-03,Guayama,3,0.3
2020-05-03,Guayanilla,3,0.3
2020-05-03,Guaynabo,60,6.7
2020-05-03,Gurabo,8,0.9
2020-05-03,Hatillo,5,0.6
2020-05-03,Hormigueros,9,1.0
2020-05-03,Humacao,6,0.7
2020-05-03,Isabela,8,0.9
2020-05-03,Jayuya,2,0.2
2020-05-03,Juana Díaz,10,1.1
2020-05-03,Juncos,5,0.6
2020-05-03,Lajas,4,0.4
2020-05-03,Lares,3,0.3
2020-05-03,Las Marías,4,0.4
2020-05-03,Las Piedras,5,0.6
2020-05-03,Loíza,1,0.1
2020-05-03,Luquillo,5,0.6
2020-05-03,Manatí,3,0.3
2020-05-03,Maunabo,3,0.3
2020-05-03,Mayagüez,32,3.6
2020-05-03,Moca,13,1.5
2020-05-03,Morovis,1,0.1
2020-05-03,Naguabo,1,0.1
2020-05-03,Orocovis,6,0.7
2020-05-03,Patillas,3,0.3
2020-05-03,Peñuelas,2,0.2
2020-05-03,Ponce,28,3.1
2020-05-03,Quebradillas,15,1.7
2020-05-03,Rincón,2,0.2
2020-05-03,Río Grande,8,0.9
2020-05-03,Sabana Grande,9,1.0
2020-05-03,Salinas,4,0.4
2020-05-03,San Germán,17,1.9
2020-05-03,San Juan,161,18.0
2020-05-03,San Lorenzo,3,0.3
2020-05-03,San Sebastián,18,2.0
2020-05-03,Santa Isabel,3,0.3
2020-05-03,Toa Alta,25,2.8
2020-05-03,Toa Baja,22,2.5
